Number Insured,Number Uninsured,Age Category,County,Percentage Insured,Percentage Uninsured
13323,874,Under 18,"Lee County, NC",93.84376981052336,6.15623018947665
12448,3933,18 to 40 years,"Lee County, NC",75.99047677186985,24.00952322813015
5992,1571,40 to 50 years,"Lee County, NC",79.22781964828772,20.772180351712283
10585,1654,50 to 64 years,"Lee County, NC",86.48582400522919,13.514175994770815
37120,6522,Total,"Lenoir County, NC",85.05568030796022,14.944319692039779
11276,593,Under 18,"Lenoir County, NC",95.00379138933356,4.996208610666442
10474,3198,18 to 40 years,"Lenoir County, NC",76.6091281451141,23.390871854885898
5083,1242,40 to 50 years,"Lenoir County, NC",80.36363636363636,19.636363636363637
10287,1489,50 to 64 years,"Lenoir County, NC",87.35563858695652,12.644361413043478
61222,9115,Total,"Lincoln County, NC",87.04095994995521,12.959040050044784
16847,1090,Under 18,"Lincoln County, NC",93.9231755589006,6.0768244410994035
16642,4082,18 to 40 years,"Lincoln County, NC",80.3030303030303,19.696969696969695
10111,1898,40 to 50 years,"Lincoln County, NC",84.19518694312599,15.80481305687401
17622,2045,50 to 64 years,"Lincoln County, NC",89.6018711547262,10.398128845273808
29905,5200,Total,"McDowell County, NC",85.18729525708588,14.812704742914114
8356,521,Under 18,"McDowell County, NC",94.13090007885548,5.869099921144531
8419,2280,18 to 40 years,"McDowell County, NC",78.68959715861295,21.310402841387045
4739,1017,40 to 50 years,"McDowell County, NC",82.33148019457957,17.66851980542043
8391,1382,50 to 64 years,"McDowell County, NC",85.85899928374091,14.14100071625908
20671,4592,Total,"Macon County, NC",81.82321972845664,18.176780271543365
5851,562,Under 18,"Macon County, NC",91.23655075627632,8.763449243723686
5588,2073,18 to 40 years,"Macon County, NC",72.9408693382065,27.0591306617935
2763,784,40 to 50 years,"Macon County, NC",77.89681420919086,22.103185790809135
6469,1173,50 to 64 years,"Macon County, NC",84.65061502224549,15.349384977754514
13727,2121,Total,"Madison County, NC",86.61660777385158,13.383392226148409
3528,201,Under 18,"Madison County, NC",94.60981496379726,5.390185036202736
3957,1012,18 to 40 years,"Madison County, NC",79.6337291205474,20.366270879452607
2253,422,40 to 50 years,"Madison County, NC",84.22429906542057,15.77570093457944
3989,486,50 to 64 years,"Madison County, NC",89.13966480446928,10.860335195530727
14609,2180,Total,"Martin County, NC",87.0153076419084,12.984692358091607
4121,218,Under 18,"Martin County, NC",94.97580087577784,5.024199124222171
4052,1000,18 to 40 years,"Martin County, NC",80.20585906571655,19.79414093428345
2013,410,40 to 50 years,"Martin County, NC",83.07882789929839,16.92117210070161
4423,552,50 to 64 years,"Martin County, NC",88.90452261306532,11.095477386934673
841744,127730,Total,"Mecklenburg County, NC",86.82481428073368,13.175185719266324
240143,14616,Under 18,"Mecklenburg County, NC",94.26281309001841,5.737186909981591
299918,66021,18 to 40 years,"Mecklenburg County, NC",81.95846848791739,18.041531512082614
130141,25443,40 to 50 years,"Mecklenburg County, NC",83.64677601809954,16.353223981900452
171542,21650,50 to 64 years,"Mecklenburg County, NC",88.7935318232639,11.206468176736097
9406,1604,Total,"Mitchell County, NC",85.4314259763851,14.568574023614895
2515,162,Under 18,"Mitchell County, NC",93.94844975719089,6.051550242809115
2573,751,18 to 40 years,"Mitchell County, NC",77.40673886883273,22.593261131167267
1440,281,40 to 50 years,"Mitchell County, NC",83.67228355607205,16.327716443927947
2878,410,50 to 64 years,"Mitchell County, NC",87.53041362530413,12.469586374695863
16845,3536,Total,"Montgomery County, NC",82.65050782591629,17.349492174083707
5197,400,Under 18,"Montgomery County, NC",92.85331427550473,7.146685724495265
4541,1596,18 to 40 years,"Montgomery County, NC",73.9938080495356,26.006191950464395
2324,710,40 to 50 years,"Montgomery County, NC",76.59854976928148,23.401450230718524
4783,830,50 to 64 years,"Montgomery County, NC",85.21289862818458,14.787101371815428
67377,9196,Total,"Moore County, NC",87.99054497015919,12.009455029840806
19993,1330,Under 18,"Moore County, NC",93.76260376119683,6.2373962388031705
20640,4049,18 to 40 years,"Moore County, NC",83.59998379845275,16.40001620154725
9428,1916,40 to 50 years,"Moore County, NC",83.11001410437235,16.889985895627646
17316,1901,50 to 64 years,"Moore County, NC",90.10771712546183,9.89228287453817
64769,9344,Total,"Nash County, NC",87.39222538555988,12.607774614440112
18869,1022,Under 18,"Nash County, NC",94.86199788849228,5.138002111507717
19150,4443,18 to 40 years,"Nash County, NC",81.16814309329038,18.831856906709618
9465,1784,40 to 50 years,"Nash County, NC",84.14081251666815,15.859187483331851
17285,2095,50 to 64 years,"Nash County, NC",89.18988648090816,10.810113519091848
161932,22453,Total,"New Hanover County, NC",87.82276215527294,12.177237844727065
40242,1930,Under 18,"New Hanover County, NC",95.42350374656169,4.5764962534383
57342,11726,18 to 40 years,"New Hanover County, NC",83.02252852261539,16.977471477384608
24574,4385,40 to 50 years,"New Hanover County, NC",84.8579025518837,15.142097448116303
39774,4412,50 to 64 years,"New Hanover County, NC",90.01493685782827,9.985063142171729
11695,1740,Total,"Northampton County, NC",87.0487532564198,12.951246743580201
3038,159,Under 18,"Northampton County, NC",95.02658742571161,4.973412574288395
3152,799,18 to 40 years,"Northampton County, NC",79.77727157681599,20.222728423184005
1558,284,40 to 50 years,"Northampton County, NC",84.58197611292074,15.418023887079261
3947,498,50 to 64 years,"Northampton County, NC",88.79640044994376,11.203599550056243
140899,16678,Total,"Onslow County, NC",89.41596806640563,10.58403193359437
45348,1917,Under 18,"Onslow County, NC",95.94414471596319,4.055855284036814
59807,9728,18 to 40 years,"Onslow County, NC",86.00992306032933,13.990076939670669
14470,2575,40 to 50 years,"Onslow County, NC",84.89293047814608,15.107069521853916
21274,2458,50 to 64 years,"Onslow County, NC",89.64267655486263,10.357323445137368
104889,12277,Total,"Orange County, NC",89.52170424867282,10.478295751327177
27146,1508,Under 18,"Orange County, NC",94.73720946464717,5.26279053535283
37495,6368,18 to 40 years,"Orange County, NC",85.48206916991542,14.517930830084582
15724,2161,40 to 50 years,"Orange County, NC",87.91724909141739,12.08275090858261
24524,2240,50 to 64 years,"Orange County, NC",91.63054849798236,8.369451502017636
6985,1191,Total,"Pamlico County, NC",85.43297455968688,14.567025440313111
1715,151,Under 18,"Pamlico County, NC",91.90782422293677,8.092175777063236
1769,520,18 to 40 years,"Pamlico County, NC",77.28265618173874,22.71734381826125
907,187,40 to 50 years,"Pamlico County, NC",82.90676416819012,17.09323583180987
2594,333,50 to 64 years,"Pamlico County, NC",88.62316364878716,11.376836351212846
27132,3756,Total,"Pasquotank County, NC",87.83993783993785,12.16006216006216
8074,406,Under 18,"Pasquotank County, NC",95.2122641509434,4.787735849056604
8403,1903,18 to 40 years,"Pasquotank County, NC",81.53502813894819,18.464971861051815
3757,621,40 to 50 years,"Pasquotank County, NC",85.81544084056647,14.184559159433531
6898,826,50 to 64 years,"Pasquotank County, NC",89.30605903676852,10.693940963231487
43661,6755,Total,"Pender County, NC",86.60147572199301,13.398524278006981
12896,902,Under 18,"Pender County, NC",93.46282069865198,6.537179301348021
11953,2978,18 to 40 years,"Pender County, NC",80.05491929542562,19.945080704574377
6792,1424,40 to 50 years,"Pender County, NC",82.66796494644596,17.33203505355404
12020,1451,50 to 64 years,"Pender County, NC",89.22871353277411,10.771286467225893
8449,1242,Total,"Perquimans County, NC",87.18398514085234,12.816014859147662
2275,157,Under 18,"Perquimans County, NC",93.54440789473684,6.4555921052631575
2287,549,18 to 40 years,"Perquimans County, NC",80.64174894217207,19.35825105782793
1194,205,40 to 50 years,"Perquimans County, NC",85.34667619728377,14.653323802716226
2693,331,50 to 64 years,"Perquimans County, NC",89.05423280423281,10.945767195767196
27230,3972,Total,"Person County, NC",87.27004679187232,12.729953208127684
7452,445,Under 18,"Person County, NC",94.36494871470178,5.635051285298214
7672,1776,18 to 40 years,"Person County, NC",81.20237087214225,18.797629127857746
